PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
1059070001,10590700,281.47011,69,1,\N,\N,1059070002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1964,300,3,1,2,2,\N,2,\N,1,\N,\N,7,3,73,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,19,37,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,3850.94,0,0,0,0,0,1,6,1
1059070002,10590700,281.47011,68,2,\N,\N,1059070001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1965,300,3,1,2,2,\N,2,\N,1,\N,\N,7,3,73,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,20,33,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,3911.18,0,0,0,0,0,1,6,1
1059080001,10590800,501.2576,60,1,\N,\N,1059080002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1973,400,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,51,40,12,0,0,0,0,0,0,0,0,0,0,\N,38,\N,18,39,13,1,2,6567.45,5174.06,0,0,2077.73,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059080002,10590800,501.2576,57,2,\N,\N,1059080001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1981,700,4,1,2,1,7,2,\N,1,1,1,5,3,23,\N,0,0,0,0,12,0,0,0,0,0,0,\N,\N,\N,24,31,\N,1,2,493.22,390.67,0,0,156.62,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059080003,10590800,501.2576,24,1,1059080001,1059080002,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,2012,600,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,73,40,12,0,0,0,0,0,0,0,0,0,0,\N,14,\N,22,2,13,1,2,7873.8,6146.15,0,0,2395.87,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059100001,10591000,63.02088,54,1,\N,1059100002,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,1984,600,\N,2,2,2,\N,2,\N,1,2,\N,8,3,23,\N,0,0,0,0,0,0,12,0,0,0,0,\N,\N,\N,22,27,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874.36,0,1,6,1
1059100002,10591000,63.02088,82,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,2,\N,1958,600,3,2,2,2,\N,2,\N,1,\N,\N,7,3,23,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,26,33,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,2714.56,243.28,0,0,0,0,1,6,1
1059100003,10591000,63.02088,50,2,\N,1059100002,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,1986,600,\N,2,3,2,\N,2,\N,\N,\N,\N,1,3,26,40,12,0,0,0,0,0,0,0,0,0,0,\N,86,\N,24,27,12,1,2,7538.98,5891.41,0,0,2335.58,0,506.84,386.46,0,0,0,0,0,0,0,0,0,1,6,1
1059110001,10591100,1197.55941,40,1,\N,\N,1059110003,\N,\N,\N,\N,\N,\N,5,2,2,\N,2014,600,\N,2,3,2,\N,2,\N,\N,\N,\N,1,3,33,40,12,0,0,0,0,0,0,0,0,0,0,\N,84,\N,18,21,13,1,1,13880.36,10800,0,0,4054.42,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059110002,10591100,1197.55941,2,2,1059110001,1059110003,\N,40,\N,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,6,1
