PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,PD020,PD030,PD050,PD060,PD070,PD080,AP,SL,M_K
1000040002,10000400,239.69852,47,2,\N,\N,1000040003,\N,\N,\N,\N,\N,\N,2,1,2,\N,1991,300,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,75,40,12,0,0,0,0,0,0,0,0,0,0,\N,10,\N,19,24,13,1,2,8214.79,6658.87,0,0,2555.7,0,0,0,0,0,0,0,0,353.61,291.29,0,0,1,1,1,1,1,1,10,1,1
1000040003,10000400,239.69852,45,1,\N,\N,1000040002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1995,400,\N,2,3,2,\N,2,\N,1,2,\N,7,3,54,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,20,21,\N,1,2,2960.01,2353.49,0,0,1064.44,0,233.79,177.82,0,0,0,3194.84,0,0,0,0,0,1,1,1,1,1,1,10,1,1
1000040004,10000400,239.69852,26,1,1000040003,1000040002,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,2012,344,1,2,3,2,\N,2,\N,\N,\N,\N,1,3,81,40,12,0,0,0,0,0,0,0,0,0,0,\N,22,\N,19,6,13,1,2,19787.54,14747.33,0,0,5913.52,0,0,0,0,0,0,0,0,646.48,521.44,0,0,1,1,1,1,1,1,10,1,1
1000050001,10000500,99.74599,48,2,\N,1000050003,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,1993,600,3,2,3,2,\N,2,\N,\N,\N,\N,1,3,23,24,12,0,0,0,0,0,0,0,0,0,0,16,85,\N,22,27,13,1,2,17953.08,14204.66,0,0,4627.09,0,0,0,0,0,0,0,0,144.9,121.89,0,0,1,1,1,1,1,1,10,1,1
1000050003,10000500,99.74599,73,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,2,\N,1962,300,4,1,2,2,\N,2,\N,2,\N,\N,7,\N,\N,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,0,0,0,0,0,2581.68,350.88,0,0,0,0,1,1,3,3,3,3,10,1,1
1000060001,10000600,185.02378,46,2,\N,\N,1000060002,\N,\N,\N,\N,\N,\N,2,1,2,\N,\N,300,2,2,3,\N,\N,2,\N,\N,\N,\N,4,2,53,30,0,0,0,12,0,0,0,0,0,0,0,\N,88,\N,18,27,1,\N,\N,1600,1600,0,0,0,0,1001.18,800,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,10,1,1
1000060002,10000600,185.02378,46,1,\N,1000060003,1000060001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1990,400,2,2,3,\N,\N,2,\N,\N,\N,\N,1,3,71,40,12,0,0,0,0,0,0,0,0,0,0,\N,41,\N,\N,28,13,1,2,8854.23,7181,0,0,2573.66,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,10,1,1
1000060003,10000600,185.02378,77,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,3,2,\N,\N,0,2,2,3,\N,\N,\N,\N,2,\N,\N,7,\N,\N,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,0,0,0,0,0,4023.84,269.52,0,0,0,0,3,1,1,3,3,1,10,1,1
1000060004,10000600,185.02378,1,2,\N,1000060005,\N,40,\N,0,0,0,5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10,1,1
1000060005,10000600,185.02378,24,2,1000060002,1000060001,\N,\N,\N,\N,\N,\N,\N,3,3,1,60,\N,344,1,2,3,2,\N,2,\N,\N,\N,\N,1,3,42,40,12,0,0,0,0,0,0,0,0,0,0,\N,53,\N,18,6,13,1,2,3314.66,2800,0,0,793.98,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,10,1,1
1000110001,10001100,113.88787,59,2,\N,\N,1000110002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1989,600,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,12,40,12,0,0,0,0,0,0,0,0,0,0,\N,70,\N,24,34,13,1,2,23086.09,17085.12,0,0,7193.29,0,3876.77,3050.77,0,0,0,0,0,952.72,785.74,0,0,1,1,1,1,1,1,10,1,1
1000110002,10001100,113.88787,55,1,\N,\N,1000110001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1991,600,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,12,40,12,0,0,0,0,0,0,0,0,0,0,\N,26,\N,21,33,13,1,2,15684.45,11548.89,0,0,5052.75,305,3710,2784.35,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,10,1,1
1000120001,10001200,157.47629,19,2,1000120002,1000120003,\N,\N,\N,\N,\N,\N,\N,1,3,1,60,2017,344,1,2,3,\N,\N,2,\N,\N,\N,\N,1,3,24,40,12,0,0,0,0,0,0,0,0,0,0,\N,63,\N,18,1,13,1,2,10715.94,8219.22,0,0,3603.87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,10,1,1
1000120002,10001200,157.47629,64,1,\N,\N,1000120003,\N,\N,\N,\N,\N,\N,2,1,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,12024.4,9144.55,0,0,0,3123.66,0,0,0,0,0,\N,\N,\N,\N,\N,\N,10,1,1
1000120003,10001200,157.47629,63,2,\N,\N,1000120002,\N,\N,\N,\N,\N,\N,2,1,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4148.55,3773.76,0,0,1269.39,0,0,0,0,0,0,2972.16,0,314.86,253.95,0,0,\N,\N,\N,\N,\N,\N,10,1,1
1000130001,10001300,228.11564,28,1,1000130005,1000130003,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,2009,344,1,2,3,2,\N,2,\N,\N,\N,\N,1,3,74,40,12,0,0,0,0,0,0,0,0,0,0,\N,62,\N,19,8,13,1,2,16935.56,12596.38,0,0,5525.17,0,3005.55,2554.71,0,0,0,0,0,239.3,196.26,0,0,1,1,2,2,1,1,10,1,1
